name,cinematic_universe,release_year,release_month,domestic_opening_weekend_box_office,worldwide_opening_weekend_box_office,domestic_lifetime_box_office,worldwide_lifetime_box_office
Elektra,Marvel,2005,Jan,12804793.0,,24409722.0,56995646.0
Captain Marvel,Marvel,2019,Mar,153433423.0,455000000.0,426829839.0,1129576094.0
Black Widow,Marvel,2021,Jul,80366312.0,,183651655.0,379751655.0
Black Panther: Wakanda Forever,Marvel,2022,Nov,181339761.0,331300000.0,453829060.0,859208836.0
The Marvels,Marvel,2023,Nov,46110859.0,110300000.0,84500223.0,206136825.0
Madame Web,Marvel,2024,Feb,15335860.0,,43817106.0,100498764.0
Supergirl,DC,1984,Nov,5738249.0,,14296438.0,
Catwoman,DC,2004,Jul,16728411.0,,40202379.0,82402379.0
Wonder Woman,DC,2017,Jun,103251471.0,228300000.0,412563408.0,822963408.0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),DC,2020,Feb,33010017.0,81300000.0,84172791.0,205537933.0
Wonder Woman 1984,DC,2020,Dec,16701957.0,,46801036.0,169601036.0
Supergirl,DC,2026,Jun,37102018.0,62602018.0,48870000.0,83370000.0
