Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,05/09/2025 18:30,Stamford Bridge,Chelsea,Manchester City,2 - 1
2,1,06/09/2025 12:30,Emirates Stadium,Arsenal,London City Lionesses,4 - 1
3,1,07/09/2025 11:00,Anfield,Liverpool,Everton,1 - 4
4,1,07/09/2025 11:00,Broadfield Stadium,Brighton & Hove Albion,Aston Villa,0 - 0
5,1,07/09/2025 11:00,Leigh Sports Village Stadium,Manchester United,Leicester City,4 - 0
6,1,07/09/2025 11:00,Brisbane Road,Tottenham Hotspur,West Ham United,1 - 0
7,2,12/09/2025 18:30,Joie Stadium,Manchester City,Brighton & Hove Albion,2 - 1
9,2,12/09/2025 18:30,Chigwell Construction Stadium,West Ham United,Arsenal,1 - 5
8,2,14/09/2025 11:00,The CopperJax Community Stadium,London City Lionesses,Manchester United,1 - 5
10,2,14/09/2025 11:00,Villa Park,Aston Villa,Chelsea,1 - 3
12,2,14/09/2025 11:00,King Power Stadium,Leicester City,Liverpool,1 - 0
11,2,14/09/2025 13:30,Goodison Park,Everton,Tottenham Hotspur,0 - 2
17,3,19/09/2025 18:30,Goodison Park,Everton,London City Lionesses,1 - 2
18,3,19/09/2025 18:30,Brisbane Road,Tottenham Hotspur,Manchester City,1 - 5
15,3,21/09/2025 11:00,Broadfield Stadium,Brighton & Hove Albion,West Ham United,4 - 1
16,3,21/09/2025 11:00,Kingsmeadow,Chelsea,Leicester City,1 - 0
13,3,21/09/2025 13:50,Leigh Sports Village Stadium,Manchester United,Arsenal,0 - 0
14,3,11/12/2025 19:00,Villa Park,Aston Villa,Liverpool,3 - 0
19,4,27/09/2025 11:00,Emirates Stadium,Arsenal,Aston Villa,1 - 1
20,4,28/09/2025 11:00,King Power Stadium,Leicester City,Tottenham Hotspur,1 - 2
21,4,28/09/2025 11:00,Joie Stadium,Manchester City,London City Lionesses,4 - 1
23,4,28/09/2025 11:00,Broadfield Stadium,Brighton & Hove Albion,Everton,1 - 0
24,4,28/09/2025 11:00,St Helens Stadium,Liverpool,Manchester United,0 - 2
22,4,28/09/2025 13:30,Chigwell Construction Stadium,West Ham United,Chelsea,0 - 4
26,5,03/10/2025 18:30,Leigh Sports Village Stadium,Manchester United,Chelsea,1 - 1
25,5,04/10/2025 11:00,Joie Stadium,Manchester City,Arsenal,3 - 2
